Gene	Protein	Description (from Uniprot)	Cellular Component	Structure
LAMP1	LAMP-1	"Lysosomal membrane glycoprotein which plays an important role in lysosome biogenesis, autophagy, and cholesterol homeostasis (By similarity).
Also plays an important role in NK-cells cytotoxicity (PubMed:23632890, PubMed:2022921).
Mechanistically, participates in cytotoxic granule movement to the cell surface and perforin trafficking to the lytic granule (PubMed:23632890).
In addition, protects NK-cells from degranulation-associated damage induced by their own cytotoxic granule content (PubMed:23847195).
Presents carbohydrate ligands to selectins. Also implicated in tumor cell metastasis"	cytoplasm	lysosomes
LMNB1	lamin B1	Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin.	nuclear periphery	nuclear envelope
MYH10	non-muscle myosin IIB	Cellular myosin that appears to play a role in cytokinesis, cell shape, and specialized functions such as secretion and capping. Involved with LARP6 in the stabilization of type I collagen mRNAs for CO1A1 and CO1A2. During cell spreading, plays an important role in cytoskeleton reorganization, focal contacts formation (in the central part but not the margins of spreading cells), and lamellipodial extension; this function is mechanically antagonized by MYH9.	cytoplasm	actomyosin bundles
NPM1	nucleophosmin	"Involved in diverse cellular processes such as ribosome biogenesis, centrosome duplication, protein chaperoning, histone assembly, cell proliferation, and regulation of tumor suppressors p53/TP53 and ARF. Binds ribosome presumably to drive ribosome nuclear export. Associated with nucleolar ribonucleoprotein structures and bind single-stranded nucleic acids. Acts as a chaperonin for the core histones H3, H2B and H4. Stimulates APEX1 endonuclease activity on apurinic/apyrimidinic (AP) double-stranded DNA but inhibits APEX1 endonuclease activity on AP single-stranded RNA. May exert a control of APEX1 endonuclease activity within nucleoli devoted to repair AP on rDNA and the removal of oxidized rRNA molecules. In concert with BRCA2, regulates centrosome duplication. Regulates centriole duplication: phosphorylation by PLK2 is able to trigger centriole replication. Negatively regulates the activation of EIF2AK2/PKR and suppresses apoptosis through inhibition of EIF2AK2/PKR autophosphorylation. Antagonizes the inhibitory effect of ATF5 on cell proliferation and relieves ATF5-induced G2/M blockade (PubMed:22528486).
In complex with MYC enhances the transcription of MYC target genes (PubMed:25956029).
May act as chaperonin or cotransporter in the nucleolar localization of transcription termination factor TTF1 (By similarity)."	nucleus	nucleoli (GC)
NUP153	Nup153	Component of the nuclear pore complex (NPC), a complex required for the trafficking across the nuclear envelope. Functions as a scaffolding element in the nuclear phase of the NPC essential for normal nucleocytoplasmic transport of proteins and mRNAs. Involved in the quality control and retention of unspliced mRNAs in the nucleus; in association with TPR, regulates the nuclear export of unspliced mRNA species bearing constitutive transport element (CTE) in a NXF1- and KHDRBS1-independent manner. Mediates TPR anchoring to the nuclear membrane at NPC. The repeat-containing domain may be involved in anchoring other components of the NPC to the pore membrane. Possible DNA-binding subunit of the nuclear pore complex (NPC).	nuclear periphery	nuclear pores
PXN	paxillin	Cytoskeletal protein involved in actin-membrane attachment at sites of cell adhesion to the extracellular matrix (focal adhesion).	membrane	matrix adhesions
RAB5A	Rab-5A	"Small GTPase which cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variety of effector proteins to regulate cellular responses such as of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Active GTP-bound form is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. RAB5A is required for the fusion of plasma membranes and early endosomes (PubMed:10818110, PubMed:14617813, PubMed:16410077, PubMed:15378032).
Contributes to the regulation of filopodia extension (PubMed:14978216).
Required for the exosomal release of SDCBP, CD63, PDCD6IP and syndecan (PubMed:22660413).
Regulates maturation of apoptotic cell-containing phagosomes, probably downstream of DYN2 and PIK3C3 (By similarity)."	cytoplasm	endosomes
SEC61B	Sec61 beta	"Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939).
Component of a ribosome-associated ER translocon complex involved in multi-pass membrane protein transport into the ER membrane and biogenesis (PubMed:32820719).
The SEC61 channel cooperates with the translocating protein TRAM1 to import nascent proteins into the ER (PubMed:19121997).
Required for PKD1/Polycystin-1 biogenesis (By similarity)"	cytoplasm	ER (Sec61 beta)
SLC25A17	PMP34	Peroxisomal transporter for multiple cofactors like coenzyme A (CoA), flavin adenine dinucleotide (FAD), flavin mononucleotide (FMN) and nucleotide adenosine monophosphate (AMP), and to a lesser extent for nicotinamide adenine dinucleotide (NAD+), adenosine diphosphate (ADP) and adenosine 3',5'-diphosphate (PAP). May catalyze the transport of free CoA, FAD and NAD+ from the cytosol into the peroxisomal matrix by a counter-exchange mechanism. Inhibited by pyridoxal 5'-phosphate and bathophenanthroline in vitro.	cytoplasm	peroxisomes
SMC1A	SMC-1A	Involved in chromosome cohesion during cell cycle and in DNA repair. Central component of cohesin complex. The cohesin complex is required for the cohesion of sister chromatids after DNA replication. The cohesin complex apparently forms a large proteinaceous ring within which sister chromatids can be trapped. At anaphase, the complex is cleaved and dissociates from chromatin, allowing sister chromatids to segregate. The cohesin complex may also play a role in spindle pole assembly during mitosis. Involved in DNA repair via its interaction with BRCA1 and its related phosphorylation by ATM, or via its phosphorylation by ATR. Works as a downstream effector both in the ATM/NBS1 branch and in the ATR/MSH2 branch of S-phase checkpoint.	nucleus	cohesins
SON	SON	RNA-binding protein that acts as a mRNA splicing cofactor by promoting efficient splicing of transcripts that possess weak splice sites. Specifically promotes splicing of many cell-cycle and DNA-repair transcripts that possess weak splice sites, such as TUBG1, KATNB1, TUBGCP2, AURKB, PCNT, AKT1, RAD23A, and FANCG. Probably acts by facilitating the interaction between Serine/arginine-rich proteins such as SRSF2 and the RNA polymerase II. Also binds to DNA; binds to the consensus DNA sequence: 5'-GA[GT]AN[CG][AG]CC-3'. May indirectly repress hepatitis B virus (HBV) core promoter activity and transcription of HBV genes and production of HBV virions. Essential for correct RNA splicing of multiple genes critical for brain development, neuronal migration and metabolism, including TUBG1, FLNA, PNKP, WDR62, PSMD3, PCK2, PFKL, IDH2, and ACY1 (PubMed:27545680).	nucleus	nuclear speckles
ST6GAL1	sialyltransferase 1	Transfers sialic acid from CMP-sialic acid to galactose-containing acceptor substrates.	cytoplasm	Golgi
TJP1	ZO-1	"TJP1, TJP2, and TJP3 are closely related scaffolding proteins that link tight junction (TJ) transmembrane proteins such as claudins, junctional adhesion molecules, and occludin to the actin cytoskeleton (PubMed:7798316, PubMed:9792688).
The tight junction acts to limit movement of substances through the paracellular space and as a boundary between the compositionally distinct apical and basolateral plasma membrane domains of epithelial and endothelial cells. Necessary for lumenogenesis, and particularly efficient epithelial polarization and barrier formation (By similarity).
Plays a role in the regulation of cell migration by targeting CDC42BPB to the leading edge of migrating cells (PubMed:21240187).
Plays an important role in podosome formation and associated function, thus regulating cell adhesion and matrix remodeling (PubMed:20930113).
With TJP2 and TJP3, participates in the junctional retention and stability of the transcription factor DBPA, but is not involved in its shuttling to the nucleus (By similarity)."	membrane	tight junctions
TOMM20	Tom20	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore (By similarity). Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	cytoplasm	mitochondria
TUBA1B	alpha-tubulin	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.	cytoplasm	microtubules
