,CellIndex,FOVId,CellId,Draft mitotic state resolved,Draft mitotic state coarse,Draft M6/M7 complete,Expert mitotic state resolved,Expert mitotic state coarse
207,3,63,233086,M0,Non-mitotic,True,,
208,14,63,233097,M0,Non-mitotic,True,,
209,18,63,233101,M0,Non-mitotic,True,,
210,19,63,233102,M0,Non-mitotic,True,,
211,21,63,233104,M0,Non-mitotic,True,,
212,26,63,233109,M0,Non-mitotic,True,,
213,36,63,233119,M0,Non-mitotic,True,,
214,14,67,233136,M0,Non-mitotic,True,,
215,15,67,233137,M0,Non-mitotic,True,,
216,19,67,233141,M0,Non-mitotic,True,,
217,29,67,233151,M0,Non-mitotic,True,,
218,7,70,233164,M0,Non-mitotic,True,,
219,19,70,233176,M0,Non-mitotic,True,,
220,1,71,233184,M0,Non-mitotic,True,,
221,12,71,233195,M4/M5,Mitotic,True,,
222,18,71,233201,M0,Non-mitotic,True,,
223,21,71,233204,M0,Non-mitotic,True,,
224,22,71,233205,M0,Non-mitotic,True,,
225,23,71,233206,M0,Non-mitotic,True,,
226,24,71,233207,M0,Non-mitotic,True,,
227,2,94,233289,M4/M5,Mitotic,True,,
228,6,94,233293,M0,Non-mitotic,True,,
229,8,94,233295,M0,Non-mitotic,True,,
230,10,94,233297,M0,Non-mitotic,True,,
231,17,94,233304,M0,Non-mitotic,True,,
232,18,94,233305,M0,Non-mitotic,True,,
233,25,94,233312,M0,Non-mitotic,True,,
234,1,102,233323,M4/M5,Mitotic,True,,
235,20,102,233342,M0,Non-mitotic,True,,
236,5,114,233361,M0,Non-mitotic,True,,
237,7,114,233363,M0,Non-mitotic,True,,
238,14,114,233370,M0,Non-mitotic,True,,
239,6,116,233423,M0,Non-mitotic,True,,
240,13,116,233430,M0,Non-mitotic,True,,
241,24,116,233441,M6/M7,Mitotic,False,,
242,10,118,233494,M4/M5,Mitotic,True,,
243,16,118,233500,M0,Non-mitotic,True,,
244,18,118,233502,M0,Non-mitotic,True,,
245,24,118,233508,M0,Non-mitotic,True,,
246,6,119,233516,M0,Non-mitotic,True,,
247,8,119,233518,M0,Non-mitotic,True,,
248,11,119,233521,M0,Non-mitotic,True,,
249,15,119,233525,M0,Non-mitotic,True,,
250,21,119,233531,M0,Non-mitotic,True,,
251,27,119,233537,M0,Non-mitotic,True,,
252,36,119,233546,M0,Non-mitotic,True,,
253,13,124,233603,M0,Non-mitotic,True,,
254,26,124,233616,M0,Non-mitotic,True,,
255,28,124,233618,M0,Non-mitotic,True,,
256,1,132,233746,M4/M5,Mitotic,True,,
257,10,132,233755,M0,Non-mitotic,True,,
258,12,132,233757,M0,Non-mitotic,True,,
259,11,133,233787,M0,Non-mitotic,True,,
260,13,133,233789,M0,Non-mitotic,True,,
261,18,133,233794,M0,Non-mitotic,True,,
262,4,134,233827,M0,Non-mitotic,True,,
263,5,134,233828,M0,Non-mitotic,True,,
264,20,134,233843,M0,Non-mitotic,True,,
265,40,134,233863,M0,Non-mitotic,True,,
266,10,135,233881,M0,Non-mitotic,True,,
267,12,135,233883,M0,Non-mitotic,True,,
268,20,135,233891,M0,Non-mitotic,True,,
269,38,135,233909,M0,Non-mitotic,True,,
270,24,136,233934,M0,Non-mitotic,True,,
271,4,137,233952,M0,Non-mitotic,True,,
272,7,137,233955,M0,Non-mitotic,True,,
273,16,137,233964,M0,Non-mitotic,True,,
274,17,137,233965,M0,Non-mitotic,True,,
275,18,137,233966,M0,Non-mitotic,True,,
276,20,137,233968,M0,Non-mitotic,True,,
277,29,137,233977,M0,Non-mitotic,True,,
278,35,137,233983,M0,Non-mitotic,True,,
279,8,140,234001,M0,Non-mitotic,True,,
280,11,140,234004,M6/M7,Mitotic,False,,
281,20,140,234013,M0,Non-mitotic,True,,
282,21,140,234014,M3,Mitotic,True,,
283,6,141,234033,M0,Non-mitotic,True,,
284,13,141,234040,M0,Non-mitotic,True,,
285,21,141,234048,M0,Non-mitotic,True,,
286,23,141,234050,M0,Non-mitotic,True,,
287,25,141,234052,M0,Non-mitotic,True,,
288,4,143,234096,M4/M5,Mitotic,True,,
289,9,143,234101,M0,Non-mitotic,True,,
290,11,143,234103,M0,Non-mitotic,True,,
291,17,143,234109,M0,Non-mitotic,True,,
292,2,146,234119,M0,Non-mitotic,True,,
293,3,146,234120,M4/M5,Mitotic,True,,
294,7,146,234124,M0,Non-mitotic,True,,
295,17,146,234134,M0,Non-mitotic,True,,
296,27,146,234144,M6/M7,Mitotic,False,,
297,14,149,234160,M0,Non-mitotic,True,,
298,22,149,234168,M0,Non-mitotic,True,,
299,21,151,234194,M0,Non-mitotic,True,,
300,30,151,234203,M0,Non-mitotic,True,,
301,32,151,234205,M0,Non-mitotic,True,,
302,35,151,234208,M0,Non-mitotic,True,,
303,5,152,234224,M0,Non-mitotic,True,,
304,7,152,234226,M0,Non-mitotic,True,,
305,8,152,234227,M0,Non-mitotic,True,,
306,14,152,234233,M0,Non-mitotic,True,,
307,19,152,234238,M0,Non-mitotic,True,,
308,23,152,234242,M0,Non-mitotic,True,,
309,30,152,234249,M0,Non-mitotic,True,,
310,2,156,234260,M3,Mitotic,True,,
311,17,156,234275,M0,Non-mitotic,True,,
312,9,158,234293,M0,Non-mitotic,True,,
313,10,158,234294,M0,Non-mitotic,True,,
314,11,158,234295,M0,Non-mitotic,True,,
315,13,158,234297,M0,Non-mitotic,True,,
316,16,158,234300,M0,Non-mitotic,True,,
317,19,158,234303,M0,Non-mitotic,True,,
318,27,158,234311,M0,Non-mitotic,True,,
319,29,158,234313,M1/M2,Mitotic,True,,
320,12,160,234389,M0,Non-mitotic,True,,
321,26,160,234403,M0,Non-mitotic,True,,
322,23,166,234432,M0,Non-mitotic,True,,
323,8,168,234481,M3,Mitotic,True,,
324,12,168,234485,M0,Non-mitotic,True,,
325,14,168,234487,M0,Non-mitotic,True,,
326,29,168,234502,M0,Non-mitotic,True,,
327,32,168,234505,M0,Non-mitotic,True,,
328,4,170,234560,M0,Non-mitotic,True,,
329,13,170,234569,M0,Non-mitotic,True,,
330,17,170,234573,M0,Non-mitotic,True,,
331,21,170,234577,M0,Non-mitotic,True,,
332,23,170,234579,M0,Non-mitotic,True,,
333,29,170,234585,M0,Non-mitotic,True,,
334,37,170,234593,M0,Non-mitotic,True,,
335,40,170,234596,M0,Non-mitotic,True,,
336,8,171,234607,M0,Non-mitotic,True,,
337,11,171,234610,M0,Non-mitotic,True,,
338,12,171,234611,M0,Non-mitotic,True,,
339,13,171,234612,M0,Non-mitotic,True,,
340,15,171,234614,M0,Non-mitotic,True,,
341,20,171,234619,M0,Non-mitotic,True,,
342,22,171,234621,M0,Non-mitotic,True,,
343,24,171,234623,M0,Non-mitotic,True,,
344,34,171,234633,M0,Non-mitotic,True,,
345,37,171,234636,M0,Non-mitotic,True,,
346,45,171,234644,M0,Non-mitotic,True,,
347,46,171,234645,M0,Non-mitotic,True,,
348,4,172,234659,M0,Non-mitotic,True,,
349,18,172,234673,M0,Non-mitotic,True,,
350,19,172,234674,M0,Non-mitotic,True,,
351,28,175,234743,M4/M5,Mitotic,True,,
352,1,176,234751,M4/M5,Mitotic,True,,
353,12,176,234762,M0,Non-mitotic,True,,
354,15,176,234765,M0,Non-mitotic,True,,
355,18,176,234768,M0,Non-mitotic,True,,
356,30,176,234780,M0,Non-mitotic,True,,
357,4,177,234801,M0,Non-mitotic,True,,
358,10,177,234807,M0,Non-mitotic,True,,
359,17,177,234814,M0,Non-mitotic,True,,
360,25,177,234822,M0,Non-mitotic,True,,
361,37,177,234834,M0,Non-mitotic,True,,
362,41,177,234838,M0,Non-mitotic,True,,
363,43,177,234840,M0,Non-mitotic,True,,
364,9,178,234858,M0,Non-mitotic,True,,
365,11,178,234860,M0,Non-mitotic,True,,
366,21,178,234870,M0,Non-mitotic,True,,
367,11,181,234977,M0,Non-mitotic,True,,
368,18,181,234984,M0,Non-mitotic,True,,
369,20,181,234986,M0,Non-mitotic,True,,
370,29,181,234995,M0,Non-mitotic,True,,
371,1,183,235064,M0,Non-mitotic,True,,
372,2,183,235065,M0,Non-mitotic,True,,
373,5,183,235068,M0,Non-mitotic,True,,
374,7,183,235070,M0,Non-mitotic,True,,
375,19,183,235082,M0,Non-mitotic,True,,
376,27,183,235090,M0,Non-mitotic,True,,
377,28,183,235091,M0,Non-mitotic,True,,
378,37,183,235100,M0,Non-mitotic,True,,
379,39,183,235102,M0,Non-mitotic,True,,
380,1,184,235107,M0,Non-mitotic,True,,
381,10,184,235116,M0,Non-mitotic,True,,
382,18,184,235124,M0,Non-mitotic,True,,
383,19,184,235125,M0,Non-mitotic,True,,
384,8,186,235156,M0,Non-mitotic,True,,
385,10,186,235158,M4/M5,Mitotic,True,,
386,13,186,235161,M6/M7,Mitotic,True,,
387,27,186,235175,M0,Non-mitotic,True,,
388,13,189,235244,M0,Non-mitotic,True,,
389,16,189,235247,M0,Non-mitotic,True,,
390,18,189,235249,M0,Non-mitotic,True,,
391,29,189,235260,M0,Non-mitotic,True,,
392,18,191,235280,M0,Non-mitotic,True,,
393,2,192,235294,M0,Non-mitotic,True,,
394,8,192,235300,M0,Non-mitotic,True,,
395,9,192,235301,M0,Non-mitotic,True,,
396,27,192,235319,M0,Non-mitotic,True,,
397,8,193,235331,M0,Non-mitotic,True,,
398,16,193,235339,M0,Non-mitotic,True,,
399,18,193,235341,M0,Non-mitotic,True,,
400,21,193,235344,M0,Non-mitotic,True,,
401,1,194,235374,M0,Non-mitotic,True,,
402,2,194,235375,M0,Non-mitotic,True,,
403,7,194,235380,M0,Non-mitotic,True,,
404,10,194,235383,M0,Non-mitotic,True,,
405,38,194,235411,M0,Non-mitotic,True,,
406,23,195,235441,M0,Non-mitotic,True,,
407,16,197,235482,M0,Non-mitotic,True,,
408,18,197,235484,M0,Non-mitotic,True,,
409,19,197,235485,M0,Non-mitotic,True,,
410,20,197,235486,M0,Non-mitotic,True,,
411,27,197,235493,M0,Non-mitotic,True,,
412,33,197,235499,M0,Non-mitotic,True,,
413,5,199,235509,M0,Non-mitotic,True,,
414,12,199,235516,M0,Non-mitotic,True,,
415,38,199,235542,M0,Non-mitotic,True,,
416,3,200,235548,M0,Non-mitotic,True,,
417,19,200,235564,M0,Non-mitotic,True,,
418,34,200,235579,M0,Non-mitotic,True,,
419,3,204,235644,M0,Non-mitotic,True,,
420,5,204,235646,M0,Non-mitotic,True,,
421,11,204,235652,M0,Non-mitotic,True,,
422,14,204,235655,M0,Non-mitotic,True,,
423,24,204,235665,M0,Non-mitotic,True,,
424,27,204,235668,M0,Non-mitotic,True,,
425,33,204,235674,M0,Non-mitotic,True,,
426,34,204,235675,M0,Non-mitotic,True,,
427,21,205,235704,M0,Non-mitotic,True,,
428,35,205,235718,M0,Non-mitotic,True,,
429,2,207,235723,M0,Non-mitotic,True,,
430,4,207,235725,M0,Non-mitotic,True,,
431,16,207,235737,M0,Non-mitotic,True,,
432,19,207,235740,M0,Non-mitotic,True,,
433,29,207,235750,M0,Non-mitotic,True,,
434,4,209,235762,M1/M2,Mitotic,True,,
435,20,209,235778,M0,Non-mitotic,True,,
436,21,209,235779,M0,Non-mitotic,True,,
437,39,209,235797,M0,Non-mitotic,True,,
438,1,210,235807,M0,Non-mitotic,True,,
439,7,210,235813,M0,Non-mitotic,True,,
440,18,210,235824,M0,Non-mitotic,True,,
441,19,210,235825,M0,Non-mitotic,True,,
442,21,210,235827,M0,Non-mitotic,True,,
443,23,210,235829,M0,Non-mitotic,True,,
444,24,210,235830,M0,Non-mitotic,True,,
445,27,210,235833,M0,Non-mitotic,True,,
446,31,210,235837,M0,Non-mitotic,True,,
447,38,210,235844,M0,Non-mitotic,True,,
448,47,210,235853,M0,Non-mitotic,True,,
449,16,213,235918,M0,Non-mitotic,True,,
450,27,213,235929,M0,Non-mitotic,True,,
451,33,213,235935,M0,Non-mitotic,True,,
452,34,213,235936,M0,Non-mitotic,True,,
453,37,213,235939,M0,Non-mitotic,True,,
454,18,215,235964,M0,Non-mitotic,True,,
455,23,215,235969,M0,Non-mitotic,True,,
456,3,217,236052,M0,Non-mitotic,True,,
457,14,217,236063,M0,Non-mitotic,True,,
458,19,217,236068,M0,Non-mitotic,True,,
459,26,217,236075,M0,Non-mitotic,True,,
460,15,218,236092,M0,Non-mitotic,True,,
461,17,218,236094,M0,Non-mitotic,True,,
462,22,218,236099,M0,Non-mitotic,True,,
463,32,218,236109,M0,Non-mitotic,True,,
464,35,218,236112,M0,Non-mitotic,True,,
465,8,220,236170,M0,Non-mitotic,True,,
466,11,220,236173,M0,Non-mitotic,True,,
467,14,220,236176,M0,Non-mitotic,True,,
468,23,220,236185,M0,Non-mitotic,True,,
469,25,220,236187,M0,Non-mitotic,True,,
470,28,220,236190,M0,Non-mitotic,True,,
471,10,222,236207,M0,Non-mitotic,True,,
472,11,222,236208,M0,Non-mitotic,True,,
473,19,222,236216,M0,Non-mitotic,True,,
474,31,222,236228,M0,Non-mitotic,True,,
475,21,225,236252,M0,Non-mitotic,True,,
476,4,226,236284,M0,Non-mitotic,True,,
477,6,226,236286,M0,Non-mitotic,True,,
478,10,226,236290,M0,Non-mitotic,True,,
479,11,226,236291,M0,Non-mitotic,True,,
480,19,226,236299,M0,Non-mitotic,True,,
481,16,229,236439,M0,Non-mitotic,True,,
482,18,229,236441,M0,Non-mitotic,True,,
483,20,229,236443,M0,Non-mitotic,True,,
484,29,229,236452,M0,Non-mitotic,True,,
485,31,229,236454,M0,Non-mitotic,True,,
486,12,230,236475,M0,Non-mitotic,True,,
487,16,230,236479,M0,Non-mitotic,True,,
488,18,230,236481,M0,Non-mitotic,True,,
489,24,230,236487,M0,Non-mitotic,True,,
490,36,230,236499,M0,Non-mitotic,True,,
491,17,232,236519,M0,Non-mitotic,True,,
492,3,235,236595,M0,Non-mitotic,True,,
493,5,235,236597,M0,Non-mitotic,True,,
494,7,235,236599,M0,Non-mitotic,True,,
495,19,235,236611,M0,Non-mitotic,True,,
496,21,235,236613,M0,Non-mitotic,True,,
497,27,235,236619,M0,Non-mitotic,True,,
498,3,245,236956,M0,Non-mitotic,True,,
499,4,245,236957,M0,Non-mitotic,True,,
500,6,245,236959,M0,Non-mitotic,True,,
501,7,245,236960,M0,Non-mitotic,True,,
502,19,245,236972,M0,Non-mitotic,True,,
503,22,245,236975,M0,Non-mitotic,True,,
504,26,245,236979,M0,Non-mitotic,True,,
505,36,245,236989,M0,Non-mitotic,True,,
506,50,245,237003,M0,Non-mitotic,True,,
507,17,249,237193,M0,Non-mitotic,True,,
508,22,249,237198,M0,Non-mitotic,True,,
509,10,255,237577,M0,Non-mitotic,True,,
510,11,255,237578,M0,Non-mitotic,True,,
511,12,255,237579,M0,Non-mitotic,True,,
512,13,255,237580,M0,Non-mitotic,True,,
513,14,255,237581,M0,Non-mitotic,True,,
514,19,255,237586,M0,Non-mitotic,True,,
515,22,255,237589,M0,Non-mitotic,True,,
516,9,261,237936,M0,Non-mitotic,True,,
517,14,261,237941,M0,Non-mitotic,True,,
518,18,268,238304,M0,Non-mitotic,True,,
519,22,268,238308,M0,Non-mitotic,True,,
520,24,268,238310,M0,Non-mitotic,True,,
521,27,268,238313,M0,Non-mitotic,True,,
522,28,268,238314,M0,Non-mitotic,True,,
523,34,268,238320,M0,Non-mitotic,True,,
524,10,269,238334,M0,Non-mitotic,True,,
525,11,269,238335,M0,Non-mitotic,True,,
526,13,269,238337,M0,Non-mitotic,True,,
527,14,269,238338,M0,Non-mitotic,True,,
528,19,269,238343,M0,Non-mitotic,True,,
529,23,269,238347,M0,Non-mitotic,True,,
530,29,269,238353,M0,Non-mitotic,True,,
531,32,269,238356,M0,Non-mitotic,True,,
532,9,272,238512,M0,Non-mitotic,True,,
533,10,272,238513,M0,Non-mitotic,True,,
534,11,272,238514,M0,Non-mitotic,True,,
535,14,272,238517,M0,Non-mitotic,True,,
536,11,278,238801,M0,Non-mitotic,True,,
537,12,278,238802,M0,Non-mitotic,True,,
538,13,278,238803,M0,Non-mitotic,True,,
539,16,278,238806,M0,Non-mitotic,True,,
540,20,278,238810,M0,Non-mitotic,True,,
541,28,278,238818,M0,Non-mitotic,True,,
542,32,278,238822,M0,Non-mitotic,True,,
543,4,280,238834,M0,Non-mitotic,True,,
544,5,280,238835,M0,Non-mitotic,True,,
545,21,280,238851,M0,Non-mitotic,True,,
546,26,280,238856,M0,Non-mitotic,True,,
547,32,280,238862,M0,Non-mitotic,True,,
548,5,282,238921,M0,Non-mitotic,True,,
549,9,282,238925,M0,Non-mitotic,True,,
550,20,282,238936,M0,Non-mitotic,True,,
551,22,282,238938,M0,Non-mitotic,True,,
552,24,282,238940,M0,Non-mitotic,True,,
553,25,282,238941,M0,Non-mitotic,True,,
554,28,282,238944,M0,Non-mitotic,True,,
555,32,282,238948,M0,Non-mitotic,True,,
556,1,286,239045,M0,Non-mitotic,True,,
557,5,286,239049,M0,Non-mitotic,True,,
558,4,287,239069,M0,Non-mitotic,True,,
559,2,288,239085,M0,Non-mitotic,True,,
560,4,288,239087,M0,Non-mitotic,True,,
561,16,288,239099,M0,Non-mitotic,True,,
562,25,288,239108,M0,Non-mitotic,True,,
563,45,288,239128,M6/M7,Mitotic,False,,
564,5,292,239208,M0,Non-mitotic,True,,
565,7,292,239210,M0,Non-mitotic,True,,
566,16,292,239219,M0,Non-mitotic,True,,
567,43,292,239246,M0,Non-mitotic,True,,
568,48,292,239251,M0,Non-mitotic,True,,
569,52,292,239255,M0,Non-mitotic,True,,
570,4,299,239438,M0,Non-mitotic,True,,
571,7,299,239441,M0,Non-mitotic,True,,
572,17,299,239451,M0,Non-mitotic,True,,
573,19,299,239453,M0,Non-mitotic,True,,
